title,type_word,language,lemma,number,case,gender,tense,analysis_morphemic,meaning,checklevel,revision_id,revision_timestamp,url
klu?θurus,proper noun,Raetic,klunθuru*,singular,genitive,masculine,,klunθuru{{m|-s(i)|-s}},'of Klunθuru',0,17055,2017-02-11T15:17:59Z,https://tir.univie.ac.at/wiki/klu%3F%CE%B8urus
knuse,proper noun,Raetic,knuse*,singular,nominative,,,knuse,'Knuse',0,15067,2016-02-09T19:45:12Z,https://tir.univie.ac.at/wiki/knuse
kuninasi,proper noun,Raetic,kuni-,singular,pertinentive,,,kuni{{m|-na}}{{m|-si}},'of/by the son/daughter of Kuni',0,10850,2015-02-18T18:36:48Z,https://tir.univie.ac.at/wiki/kuninasi
kusen,unknown,Raetic,,unknown,unknown,unknown,,,unknown,0,17592,2020-04-14T22:24:20Z,https://tir.univie.ac.at/wiki/kusen
kusenkus,proper noun,Raetic,kusenku*,singular,genitive,masculine,,kusenku{{m|-s(i)|-s}},'of/for Kusenku',0,17057,2017-02-11T15:18:55Z,https://tir.univie.ac.at/wiki/kusenkus
la,unknown,unknown,,,,,,,unknown,1,16651,2016-05-12T11:41:23Z,https://tir.univie.ac.at/wiki/la
laseke,verb,Raetic,lase*,singular,,,past,lase{{m|-ke}},unknown,0,10184,2015-01-06T20:08:49Z,https://tir.univie.ac.at/wiki/laseke
lasta,proper noun,Raetic,lasta*,singular,,,,,'Lasta',0,15087,2016-02-09T22:37:49Z,https://tir.univie.ac.at/wiki/lasta
lastasi,proper noun,Raetic,lasta*,singular,pertinentive,,,lasta{{m|-si}},'by/for Lasta',0,14671,2016-01-12T11:57:21Z,https://tir.univie.ac.at/wiki/lastasi
lasθe,proper noun,Raetic,lasθe*,singular,nominative,,,lasθe,'Lasθe',0,15085,2016-02-09T22:37:16Z,https://tir.univie.ac.at/wiki/las%CE%B8e
lauste,proper noun,Raetic,lauste-,singular,nominative,,,,'Lauste',0,17152,2018-01-10T16:07:30Z,https://tir.univie.ac.at/wiki/lauste
lavise,proper noun,Raetic,lavise-,singular,nominative,,,,'Lavise',3,18228,2023-05-02T12:45:11Z,https://tir.univie.ac.at/wiki/lavise
lavises,proper noun,Raetic,lavise-,singular,genitive,,,lavise{{m|-s(i)|-s}},'of Lavise',0,17038,2017-02-11T14:23:59Z,https://tir.univie.ac.at/wiki/lavises
laþe,unknown,Raetic,,,,,,,unknown,5,6739,2014-03-13T20:08:55Z,https://tir.univie.ac.at/wiki/la%C3%BEe
laśanuale,proper noun,Raetic,laśa*,singular,pertinentive,masculine,,laśa{{m|-nu}}{{m|-le|-ale}},'of/by the son of Laśa*',0,17069,2017-02-11T15:57:44Z,https://tir.univie.ac.at/wiki/la%C5%9Banuale
laθur,proper noun,Raetic,laθuru-,singular,nominative,,,,'Laθur(u)',1,9353,2014-10-10T19:22:15Z,https://tir.univie.ac.at/wiki/la%CE%B8ur
laθurusi,proper noun,Raetic,laθuru-,singular,pertinentive,,,laθuru{{m|-si}},'of/by Laθuru',0,10920,2015-02-21T01:01:17Z,https://tir.univie.ac.at/wiki/la%CE%B8urusi
like,verb,Raetic,,,,,past,{{m|li-|li}}{{m|-ke}},unknown,4,17745,2020-04-29T22:29:11Z,https://tir.univie.ac.at/wiki/like
lumene,proper noun,Raetic,lumene-,singular,nominative,,,,'Lumene',1,9355,2014-10-10T19:42:41Z,https://tir.univie.ac.at/wiki/lumene
lupnu,proper noun,Raetic,lup*,singular,nominative,masculine,,lup{{m|-nu}},'son of Lup*',0,12887,2015-07-15T10:16:47Z,https://tir.univie.ac.at/wiki/lupnu
maieχe,verb,Raetic,maie*,singular,,,past,maie{{m|-ke|-χe}},unknown,0,10185,2015-01-06T20:09:28Z,https://tir.univie.ac.at/wiki/maie%CF%87e
metinu,proper noun,Raetic,meti*,singular,nominative,,,meti{{m|-nu}},'son of Meti*',0,14811,2016-01-19T11:12:32Z,https://tir.univie.ac.at/wiki/metinu
metlainile,proper noun,Raetic,,singular,pertinentive,unknown,,metlaini{{m|-le}},'by Metlaini' (?),0,17355,2020-03-16T23:44:10Z,https://tir.univie.ac.at/wiki/metlainile
mi,pronoun,Etruscan,,singular,nominative,,,,"""I""",3,4371,2013-12-14T10:24:10Z,https://tir.univie.ac.at/wiki/mi
muiu,unknown,Raetic,muiu*,,,,,,unknown,0,15055,2016-02-07T22:20:55Z,https://tir.univie.ac.at/wiki/muiu
nuþnuale,proper noun,Raetic,nuþ-,singular,pertinentive,,,nuþ{{m|-nu}}{{m|-le|-ale}},'of/by the son of Nuz*',0,17093,2017-02-11T16:17:03Z,https://tir.univie.ac.at/wiki/nu%C3%BEnuale
ossurie,proper noun,Raetic,ossurie-,singular,nominative,,,,'Ossurie' (PN),0,12301,2015-06-01T15:53:11Z,https://tir.univie.ac.at/wiki/ossurie
paśunu,proper noun,Raetic,paś*,singular,nominative,masculine,,paśu{{m|-nu}},'son of Paśu*',0,12939,2015-07-16T14:57:29Z,https://tir.univie.ac.at/wiki/pa%C5%9Bunu
perkusiale,proper noun,Raetic,,singular,pertinentive,,,perkusi-a{{m|-le}},unknown,4,17067,2017-02-11T15:57:00Z,https://tir.univie.ac.at/wiki/perkusiale
piri,proper noun,Raetic,piri*,singular,nominative,masculine,,,'Piri',0,14725,2016-01-13T13:25:53Z,https://tir.univie.ac.at/wiki/piri
pitale,proper noun,Raetic,pitale*,singular,nominative,,,pitale,'Pitale',0,15080,2016-02-09T22:32:51Z,https://tir.univie.ac.at/wiki/pitale
pitaunesi,proper noun,Raetic,pitaune-,singular,pertinentive,masculine,,pitaune{{m|-si}},'of/by Pitaune',0,17770,2020-08-31T17:56:05Z,https://tir.univie.ac.at/wiki/pitaunesi
pitis,proper noun,Raetic,piθi-,singular,genitive,,,piθi{{m|-s(i)|-s}},'of/for Piti*' (?),0,17053,2017-02-11T15:11:11Z,https://tir.univie.ac.at/wiki/pitis
piθam(n)e,proper noun,Raetic,piθam(n)e-,singular,nominative,,,,'Piθam(n)e',1,15084,2016-02-09T22:36:53Z,https://tir.univie.ac.at/wiki/pi%CE%B8am(n)e
piθamnu,proper noun,Raetic,piθam(n)e-,singular,nominative,,,piθam(n){{m|-nu}},'son of Piθam(n)e',0,11489,2015-04-07T21:30:54Z,https://tir.univie.ac.at/wiki/pi%CE%B8amnu
piθamnuale,proper noun,Raetic,piθam(n)e-,singular,pertinentive,,,piθam(n){{m|-nu}}{{m|-le|-ale}},'by/for the son of Piθam(n)e',0,17091,2017-02-11T16:13:48Z,https://tir.univie.ac.at/wiki/pi%CE%B8amnuale
piθiave,proper noun,Raetic,piθiave*,singular,nominative,masculine,,piθiave,'Piθiave',0,15082,2016-02-09T22:36:11Z,https://tir.univie.ac.at/wiki/pi%CE%B8iave
piθie,proper noun,Raetic,piθi*,singular,,,,,'Piθie',1,15083,2016-02-09T22:36:29Z,https://tir.univie.ac.at/wiki/pi%CE%B8ie
pnake,unknown,Raetic,,,,,,,unknown,5,10186,2015-01-06T20:11:18Z,https://tir.univie.ac.at/wiki/pnake
puχe,unknown,Raetic,,,,,,,unknown,5,12919,2015-07-16T13:28:40Z,https://tir.univie.ac.at/wiki/pu%CF%87e
reiθe,proper noun,Raetic,reiθ*,,,,,,'Reiθe',0,14928,2016-01-27T13:21:18Z,https://tir.univie.ac.at/wiki/rei%CE%B8e
reiθuśnu,proper noun,Raetic,reituś-,singular,nominative,,,reiθuś{{m|-nu}},'son of Reiθuś*',0,14929,2016-01-27T13:21:28Z,https://tir.univie.ac.at/wiki/rei%CE%B8u%C5%9Bnu
remi,proper noun,Raetic,,singular,nominative,,,,'Remi',0,15148,2016-02-15T15:48:48Z,https://tir.univie.ac.at/wiki/remi
remies,proper noun,Raetic,remi*,singular,genitive,,,remie{{m|-s(i)|-s}},'of/for Remie',0,17061,2017-02-11T15:20:17Z,https://tir.univie.ac.at/wiki/remies
remina,proper noun,Raetic,remi-,singular,nominative,,,remi{{m|-na}},'daughter (?) of Remi',1,10616,2015-02-06T19:43:59Z,https://tir.univie.ac.at/wiki/remina
rileke,verb,Raetic,rile*,singular,,,past,rile{{m|-ke}},unknown,0,10183,2015-01-06T20:08:15Z,https://tir.univie.ac.at/wiki/rileke
ritauiesi,proper noun,Raetic,ritauie-,singular,pertinentive,masculine,,ritauie{{m|-si}},'of/by Ritauie',0,17771,2020-08-31T17:56:10Z,https://tir.univie.ac.at/wiki/ritauiesi
ruśie,proper noun,Raetic,ruśie-,singular,nominative,,,,'Ruśie',0,9680,2014-11-18T19:05:27Z,https://tir.univie.ac.at/wiki/ru%C5%9Bie
siraku,unknown,Raetic,,,,,,,unknown,0,17679,2020-04-18T14:58:06Z,https://tir.univie.ac.at/wiki/siraku
sletile,proper noun,Raetic,sleti-,singular,pertinentive,,,sleti{{m|-le}},'of/by Sleti',0,17095,2017-02-11T16:18:35Z,https://tir.univie.ac.at/wiki/sletile
spirkuva,proper noun,Raetic,spirku*,singular,genitive,unknown,,spirku{{m|-a}},'by/of Spirku' (?),0,17264,2020-01-29T19:57:11Z,https://tir.univie.ac.at/wiki/spirkuva
susinu,proper noun,Raetic,susi*,singular,nominative,,,susi{{m|-nu}},'son of Susi',0,15068,2016-02-09T19:47:55Z,https://tir.univie.ac.at/wiki/susinu
suχ,unknown,Raetic,,,,,,,unknown,0,14684,2016-01-12T12:45:34Z,https://tir.univie.ac.at/wiki/su%CF%87
sφuras,noun,Raetic,,singular,genitive,,,sφura{{m|-s(i)|-s}},'of the community',0,17035,2017-02-11T14:14:32Z,https://tir.univie.ac.at/wiki/s%CF%86uras
sχaistala,unknown,Raetic,,,,,,,unknown,5,14654,2016-01-11T18:06:04Z,https://tir.univie.ac.at/wiki/s%CF%87aistala
sχsi,unknown,unknown,,,,,,,unknown,0,11580,2015-04-13T19:08:03Z,https://tir.univie.ac.at/wiki/s%CF%87si
ta,pronoun,"Raetic, Etruscan",ta-,,,,,,'this',0,17115,2017-02-12T22:47:04Z,https://tir.univie.ac.at/wiki/ta
taniun,noun,Raetic,tani(u)n-,,nominative/accusative,,,,unknown,0,18241,2024-10-18T13:40:41Z,https://tir.univie.ac.at/wiki/taniun
taśna,proper noun,Raetic,taś*,singular,nominative,feminine,,taś{{m|-na}},'daughter of Taś*',0,14693,2016-01-12T13:36:23Z,https://tir.univie.ac.at/wiki/ta%C5%9Bna
terisna,unknown,Raetic,,,,,,,unknown,0,17660,2020-04-16T13:11:09Z,https://tir.univie.ac.at/wiki/terisna
terunies,proper noun,Raetic,terunie-,singular,genitive,,,terunie{{m|-s(i)|-s}},'of Terunie' (?),0,17042,2017-02-11T14:27:09Z,https://tir.univie.ac.at/wiki/terunies
tianus,proper noun,Raetic,tianu-,singular,,,,,'(of/for?) Tianu*',1,17050,2017-02-11T15:04:49Z,https://tir.univie.ac.at/wiki/tianus
tianusa,proper noun,Raetic,tianu-,singular,genitive,,,tianus{{m|-a}},'of/for Tianus',0,14659,2016-01-12T10:16:11Z,https://tir.univie.ac.at/wiki/tianusa
tipruχnu,proper noun,Raetic,,singular,nominative,masculine,,tipruχ{{m|-nu}},'son of Tipruχ-',1,7439,2014-04-30T18:10:34Z,https://tir.univie.ac.at/wiki/tipru%CF%87nu
tite,proper noun,Raetic,tite*,singular,,,,,'Tite',0,14645,2016-01-11T16:58:42Z,https://tir.univie.ac.at/wiki/tite
tumis,noun,Raetic,,,,,,,unknown,5,17040,2017-02-11T14:25:44Z,https://tir.univie.ac.at/wiki/tumis
