title,type_object,material,date,sortdate,date_derivation,site,field_name,location,inventory_number,dimension,condition,source,checklevel,revision_id,revision_timestamp,url
VR-3 spit,spit,bronze,uncertain,-400,unknown,Ca' dei Cavri,,Museo Miniscalchi Erizzo,none,length 56 cm,damaged,,0,18229,2023-05-02T12:48:08Z,https://tir.univie.ac.at/wiki/VR-3_spit
VR-4 bone,unidentifiable,bone,1st century BC,-50,archaeological context,Castelrotto,,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,none,length 7 cm,complete,Marinetti 1991: 39–42 with fig.; MLR: 152 [MLR 139] with drawing,5,15435,2016-03-15T11:05:37Z,https://tir.univie.ac.at/wiki/VR-4_bone
VR-6 antler,unidentifiable,antler,4th–3rd centuries BC,-300,archaeological context,Montorio Veronese,Castello di Montorio Veronese,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 61598,"length: 9.2 cm, thickness max.: 3.2 cm",fragmentary,Marinetti 2004: 409–410 [No. 1] with fig.; MLR: 258 with photo,0,15430,2016-03-15T09:56:21Z,https://tir.univie.ac.at/wiki/VR-6_antler
VR-7 bone,unidentifiable,bone,4th–3rd centuries BC,-300,archaeological context,Montorio Veronese,Castello di Montorio Veronese,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,none,"length max.: 3.3 cm, width: 1.2 cm",fragmentary,Marinetti 2004: 410–411 [No. 2] with fig.; MLR: 258 with photo,0,15431,2016-03-15T10:01:28Z,https://tir.univie.ac.at/wiki/VR-7_bone
VR-8 bone,unidentifiable,bone,4th–3rd centuries BC,-300,archaeological context,Montorio Veronese,Castello di Montorio Veronese,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,none,"length: 3.3cm, width: 1cm",complete,Marinetti 2004: 412 [No. 3] with fig.; MLR: 259 with photo,0,15428,2016-03-15T09:45:33Z,https://tir.univie.ac.at/wiki/VR-8_bone
VR-9 potsherd,vessel,pottery,4th–3rd centuries BC,-300,archaeological context,Montorio Veronese,Castello di Montorio Veronese,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,none,"width: 6.8 cm, height: 4.3 cm, thickness max.: 1.5 cm, thickness min.: 1.2 cm",fragmentary,Marinetti 2000: 74–75 [No. 1]; Marinetti 2004: 409,0,15462,2016-03-18T08:05:10Z,https://tir.univie.ac.at/wiki/VR-9_potsherd
WE-1 handle,vessel,bronze,5th–4th centuries BC,-400,typology,Matrei am Brenner,,Tiroler Landesmuseum Ferdinandeum,2.276,"length: 8.6 cm, diameter: 8 mm",fragmentary,Zemmer-Plank et al. 1985: 166 (cat. No. 39),5,14005,2015-10-30T14:34:35Z,https://tir.univie.ac.at/wiki/WE-1_handle
WE-2 potsherd,vessel,pottery,,,,Sterzing / Vipiteno,"Kronbühel / Custozza,",unknown,,"length: 4.5 cm, height: 4 cm, thickness: 4-5 mm",fragmentary,"Schumacher 2004: 189, 214, pl. 5,2, pl. 6,1",5,13448,2015-09-10T12:07:42Z,https://tir.univie.ac.at/wiki/WE-2_potsherd
WE-3 antler,handle,antler,4th–3rd centuries BC,-300,unknown,Brixen / Bressanone,Stufels,Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,St. 6992,"length: 10.5 cm,  width: 2.3 cm, height:  1.9 cm",damaged,"Dal Rì 1987: 178 [No. 731], fig. 305; Nothdurfter 2002: 1147 [list 2, No. 2], fig. 1,7; Tecchiati et al. 2011: 53, fig. 35–37, fig. 38",0,15226,2016-03-01T15:38:34Z,https://tir.univie.ac.at/wiki/WE-3_antler
WE-4 potsherd,pot,pottery,5th–4th centuries BC,-400,"typology, archaeological context",Brixen / Bressanone,Stufels,Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,,"height: 17.6 cm, rim diameter: 16.6 cm, maximum diameter: 20.4 cm, thickness: 5-7 mm","fragmentary, restored","Tecchiati et al. 2011: 49–53, fig. 33, fig. 34",5,13450,2015-09-10T12:17:58Z,https://tir.univie.ac.at/wiki/WE-4_potsherd
WE-5 potsherd,bowl,pottery,4th–3rd centuries BC,-300,typology,Mellaun / Meluno,"Reiferfelder,",Tiroler Landesmuseum Ferdinandeum,11.554,"height: 5.1 cm, rim diameter: 7.4 cm, maximum diameter: 8.3 cm, base diameter: 2.4 cm, thickness: 5 mm",fragmentary,"Merhart 1927: 109, fig. XVI.3; Lunz 1974: 111, 396–397 [No. 66.6], pl. 66.6",0,17637,2020-04-16T10:05:51Z,https://tir.univie.ac.at/wiki/WE-5_potsherd
WE-6 potsherd,bowl,pottery,3rd–2nd centuries BC,-200,typology,Mellaun / Meluno,,Tiroler Landesmuseum Ferdinandeum,11.556,,fragmentary,unpublished,3,13752,2015-09-28T08:50:04Z,https://tir.univie.ac.at/wiki/WE-6_potsherd
WE-7 potsherd,bowl,pottery,,,archaeological context,Mellaun / Meluno,Reiferfelder,Tiroler Landesmuseum Ferdinandeum,11.562,,"fragmentary, restored","Franz 1957: 108–109, fig. 3",0,17638,2020-04-16T10:06:54Z,https://tir.univie.ac.at/wiki/WE-7_potsherd
