Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 154247;;ET1 OI G.0060 ;ET2 OI G.0060 ;;;;;;;;;;;;;;
TM 154249;;ET1 OI G.0062 ;ET2 OI G.0062 ;;;;;;;;;;;;;;
TM 154254;;ET1 OI G.0067 ;ET2 OI G.0067 ;;;;;;;;;;;;;;
TM 154256;;ET1 OI G.0069 ;ET2 OI G.0069 ;;;;;;;;;;;;;;
TM 154257;;ET1 OI G.0070 ;ET2 OI G.0070 ;;;;;;;;;;;;;;
TM 154260;;ET1 OI G.0073 ;ET2 OI G.0073 ;TLE 0781;;;;;;;;;;;;;
TM 154281;;ET1 OB 3.0003;ET2 OB 3.0003;TLE 0738;;;;;;;;;;;;;
TM 154283;;ET1 Pe 7.0001;ET2 Pe 7.0001;;;;;;;;;;;;;;
TM 154284;;ET1 Pe 7.0002;ET2 Pe 7.0002;;;;;;;;;;;;;;
TM 173868;;;ET2 AC;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 173868;;;ET2 Co 8.0003;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 173871;;;ET2 Cm 2.0091;;;;;;;;;;;;;;
TM 173873;;;ET2 Cm 2.0093;;;;;;;;;;;;;;
TM 173876;;;ET2 Cm 2.0096;;;;;;;;;;;;;;
TM 173877;;;ET2 Cm 2.0097;;;;;;;;;;;;;;
TM 173878;;;ET2 Cm 2.0098;;;;;;;;;;;;;;
TM 173881;;;ET2 Cm 2.0102;;;;;;;;;;;;;;
TM 173882;;;ET2 Cm 2.0103;;;;;;;;;;;;;;
TM 173883;;;ET2 Cm 2.0104;;;;;;;;;;;;;;
TM 173887;;;ET2 Cm 2.0108;;;;;;;;;;;;;;
TM 173888;;;ET2 Cm 2.0111;;;;;;;;;;;;;;
TM 173889;;;ET2 Cm 2.0112;;;;;;;;;;;;;;
TM 173890;;;ET2 Cm 2.0113;;;;;;;;;;;;;;
TM 173893;;;ET2 Cm 2.0117;;;;;;;;;;;;;;
TM 173900;;;ET2 Cm 2.0124;;;;;;;;;;;;;;
TM 173901;;;ET2 Cm 2.0125;;;;;;;;;;;;;;
TM 173902;;;ET2 Cm 2.0126;;;;;;;;;;;;;;
TM 173904;;;ET2 Cm 2.0128;;;;;;;;;;;;;;
TM 173907;;;ET2 Cm 2.0132;;;;;;;;;;;;;;
TM 173908;;;ET2 Cm 2.0133;;;;;;;;;;;;;;
TM 173909;;;ET2 Cm 2.0134;;;;;;;;;;;;;;
TM 173910;;;ET2 Cm 2.0135;;;;;;;;;;;;;;
TM 173911;;;ET2 Cm 2.0137;;;;;;;;;;;;;;
TM 173912;;;ET2 Cm 2.0138;;;;;;;;;;;;;;
TM 173913;;;ET2 Cm 2.0139;;;;;;;;;;;;;;
TM 173914;;;ET2 Cm 3.0002;;;;;;;;;;;;;;
TM 173915;;;ET2 Cm 3.0003;;;;;;;;;;;;;;
TM 173916;;;ET2 Cm 3.0005;;;;;;;;;;;;;;
TM 173917;;;ET2 Cm 4.0003;;;;;;;;;;;;;;
TM 173918;;;ET2 Cm 4.0004;;;;;;;;;;;;;;
TM 173919;;;ET2 Cm 4.0005;;;;;;;;;;;;;;
TM 173920;;;ET2 Cm 6.0003;;;;;;;;;;;;;;
TM 173921;;;ET2 Cm 9.0009;;;;;;;;;;;;;;
TM 173923;;;ET2 Cm 9.0011;;;;;;;;;;;;;;
TM 173924;;;ET2 Cm 0.0010;;;;;;;;;;;;;;
TM 173928;;;ET2 Cm 0.0014;;;;;;;;;;;;;;
TM 173932;;;ET2 Cm 0.0018;;;;;;;;;;;;;;
TM 173933;;;ET2 Cm 0.0019;;;;;;;;;;;;;;
TM 173935;;;ET2 Cm 0.0021;;;;;;;;;;;;;;
TM 173939;;;ET2 Cm 0.0025;;;;;;;;;;;;;;
TM 173940;;;ET2 Cm 0.0026;;;;;;;;;;;;;;
TM 173941;;;ET2 Cm 0.0027;;;;;;;;;;;;;;
TM 173943;;;ET2 Cm 0.0029;;;;;;;;;;;;;;
TM 173944;;;ET2 Cm 0.0030;;;;;;;;;;;;;;
TM 173945;;;ET2 Cm 0.0031;;;;;;;;;;;;;;
TM 173946;;;ET2 Cm 0.0032;;;;;;;;;;;;;;
TM 173954;;;ET2 La 2.0013;;;;;;;;;;;;;;
TM 173955;;;ET2 La 2.0014;;;;;;;;;;;;;;
TM 173956;;;ET2 La 3.0002;;;;;;;;;;;;;;
TM 173957;;;ET2 La 4.0001;;;;;;;;;;;;;;
TM 173958;;;ET2 La 6.0003;;;;;;;;;;;;;;
TM 173960;;;ET2 La 0.0003;;;;;;;;;;;;;;
TM 173961;;;ET2 La 0.0004;;;;;;;;;;;;;;
TM 173995;;;ET2 Ve 9.0005;;;;;;;;;;;;;;
TM 174012;;;ET2 Cr 1.0186;;;;;;;;;;;;;;
TM 174013;;;ET2 Cr 1.0187;;;;;;;;;;;;;;
TM 174014;;;ET2 Cr 1.0188;;;;;;;;;;;;;;
TM 174015;;;ET2 Cr 1.0189;;;;;;;;;;;;;;
TM 174016;;;ET2 Cr 1.0190;;;;;;;;;;;;;;
TM 174017;;;ET2 Cr 1.0191;;;;;;;;;;;;;;
TM 174018;;;ET2 Cr 1.0192;;;;;;;;;;;;;;
TM 174019;;;ET2 Cr 1.0193;;;;;;;;;;;;;;
TM 174020;;;ET2 Cr 1.0194;;;;;;;;;;;;;;
TM 174021;;;ET2 Cr 1.0195;;;;;;;;;;;;;;
TM 174022;;;ET2 Cr 1.0196;;;;;;;;;;;;;;
TM 174023;;;ET2 Cr 1.0197;;;;;;;;;;;;;;
TM 174024;;;ET2 Cr 1.0198;;;;;;;;;;;;;;
TM 174025;;;ET2 Cr 1.0199;;;;;;;;;;;;;;
TM 174026;;;ET2 Cr 1.0200;;;;;;;;;;;;;;
TM 174027;;;ET2 Cr 1.0201;;;;;;;;;;;;;;
TM 174028;;;ET2 Cr 1.0202;;;;;;;;;;;;;;
TM 174029;;;ET2 Cr 1.0203;;;;;;;;;;;;;;
TM 174030;;;ET2 Cr 1.0204;;;;;;;;;;;;;;
TM 174031;;;ET2 Cr 1.0205;;;;;;;;;;;;;;
TM 174032;;;ET2 Cr 1.0206;;;;;;;;;;;;;;
TM 174033;;;ET2 Cr 1.0207;;;;;;;;;;;;;;
TM 174034;;;ET2 Cr 1.0208;;;;;;;;;;;;;;
TM 174035;;;ET2 Cr 1.0209;;;;;;;;;;;;;;
TM 174036;;;ET2 Cr 1.0210;;;;;;;;;;;;;;
TM 174037;;;ET2 Cr 1.0211;;;;;;;;;;;;;;
TM 174038;;;ET2 Cr 1.0214;;;;;;;;;;;;;;
TM 174039;;;ET2 Cr 1.0215;;;;;;;;;;;;;;
TM 174040;;;ET2 Cr 1.0212;;;;;;;;;;;;;;
TM 174041;;;ET2 Cr 1.0213;;;;;;;;;;;;;CII Meiser;
TM 174042;;;ET2 Cr 1.0181;;;;;;;;;;;;;;
TM 174043;;;ET2 Cr 1.0183;;;;;;;;;;;;;;
TM 174044;;;ET2 Cr 1.0185;;;;;;;;;;;;;;
TM 174045;;;ET2 Cr 2.0144;;;;;;;;;;;;;;
TM 174046;;;ET2 Cr 2.0145;;;;;;;;;;;;;;
TM 174047;;;ET2 Cr 2.0147;;;;;;;;;;;;;;
TM 174048;;;ET2 Cr 2.0148;;;;;;;;;;;;;;
TM 174049;;;ET2 Cr 2.0150;;;;;;;;;;;;;;
TM 174050;;;ET2 Cr 2.0151;;;;;;;;;;;;;;
TM 174051;;;ET2 Cr 2.0152;;;;;;;;;;;;;;
TM 174052;;;ET2 Cr 2.0153;;;;;;;;;;;;;;
TM 174053;;;ET2 Cr 2.0154;;;;;;;;;;;;;;
TM 174054;;;ET2 Cr 2.0155;;;;;;;;;;;;;;
TM 174055;;;ET2 Cr 2.0156;;;;;;;;;;;;;;
TM 174057;;;ET2 Cr 2.0158;;;;;;;;;;;;;;
TM 174058;;;ET2 Cr 2.0159;;;;;;;;;;;;;;
TM 174059;;;ET2 Cr 2.0160;;;;;;;;;;;;;;
TM 174060;;;ET2 Cr 2.0161;;;;;;;;;;;;;;
TM 174061;;;ET2 Cr 2.0162;;;;;;;;;;;;;;
TM 174062;;;ET2 Cr 2.0163;;;;;;;;;;;;;;
TM 174063;;;ET2 Cr 2.0164;;;;;;;;;;;;;;
TM 174064;;;ET2 Cr 2.0165;;;;;;;;;;;;;;
TM 174065;;;ET2 Cr 2.0166;;;;;;;;;;;;;;
TM 174066;;;ET2 Cr 2.0167;;;;;;;;;;;;;;
TM 174067;;;ET2 Cr 2.0168;;;;;;;;;;;;;;
TM 174068;;;ET2 Cr 2.0169;;;;;;;;;;;;;;
TM 174069;;;ET2 Cr 2.0170;;;;;;;;;;;;;;
TM 174070;;;ET2 Cr 2.0171;;;;;;;;;;;;;;
TM 174071;;;ET2 Cr 2.0172;;;;;;;;;;;;;;
TM 174072;;;ET2 Cr 2.0173;;;;;;;;;;;;;;
TM 174073;;;ET2 Cr 2.0175;;;;;;;;;;;;;;
TM 174074;;;ET2 Cr 2.0176;;;;;;;;;;;;;;
TM 174075;;;ET2 Cr 2.0177;;;;;;;;;;;;;;
TM 174076;;;ET2 Cr 2.0178;;;;;;;;;;;;;;
TM 174077;;;ET2 Cr 2.0179;;;;;;;;;;;;;;
TM 174078;;;ET2 Cr 2.0180;;;;;;;;;;;;;;
TM 174079;;;ET2 Cr 2.0181;;;;;;;;;;;;;;
TM 174080;;;ET2 Cr 2.0182;;;;;;;;;;;;;;
TM 174081;;;ET2 Cr 2.0183;;;;;;;;;;;;;;
TM 174082;;;ET2 Cr 2.0184;;;;;;;;;;;;;;
TM 174083;;;ET2 Cr 2.0185;;;;;;;;;;;;;;
TM 174084;;;ET2 Cr 2.0187;;;;;;;;;;;;;;
TM 174085;;;ET2 Cr 2.0188;;;;;;;;;;;;;;
TM 174086;;;ET2 Cr 2.0189;;;;;;;;;;;;;;
TM 174087;;;ET2 Cr 2.0190;;;;;;;;;;;;;;
TM 174088;;;ET2 Cr 2.0191;;;;;;;;;;;;;;
TM 174089;;;ET2 Cr 2.0192;;;;;;;;;;;;;;
TM 174090;;;ET2 Cr 2.0193;;;;;;;;;;;;;;
TM 174091;;;ET2 Cr 2.0194;;;;;;;;;;;;;;
TM 174092;;;ET2 Cr 2.0195;;;;;;;;;;;;;;
TM 174093;;;ET2 Cr 2.0196;;;;;;;;;;;;;;
TM 174094;;;ET2 Cr 2.0197;;;;;;;;;;;;;;
TM 174095;;;ET2 Cr 2.0198;;;;;;;;;;;;;;
TM 174096;;;ET2 Cr 2.0199;;;;;;;;;;;;;;
TM 174097;;;ET2 Cr 2.0200;;;;;;;;;;;;;;
TM 174098;;;ET2 Cr 2.0201;;;;;;;;;;;;;;
TM 174099;;;ET2 Cr 2.0202;;;;;;;;;;;;;;
TM 174100;;;ET2 Cr 2.0203;;;;;;;;;;;;;;
TM 174101;;;ET2 Cr 2.0204;;;;;;;;;;;;;;
TM 174102;;;ET2 Cr 3.0027;;;;;;;;;;;;;;
TM 174103;;;ET2 Cr 3.0029;;;;;;;;;;;;;;
TM 174104;;;ET2 Cr 3.0030;;;;;;;;;;;;;;
TM 174105;;;ET2 Cr 3.0031;;;;;;;;;;;;;;
TM 174106;;;ET2 Cr 3.0032;;;;;;;;;;;;;;
TM 174107;;;ET2 Cr 3.0033;;;;;;;;;;;;;;
TM 174108;;;ET2 Cr 3.0034;;;;;;;;;;;;;;
TM 174109;;;ET2 Cr 3.0035;;;;;;;;;;;;;;
TM 174110;;;ET2 Cr 3.0038;;;;;;;;;;;;;;
TM 174111;;;ET2 Cr 3.0039;;;;;;;;;;;;;;
TM 174112;;;ET2 Cr 3.0040;;;;;;;;;;;;;;
TM 174113;;;ET2 Cr 3.0041;;;;;;;;;;;;;;
TM 174114;;;ET2 Cr 3.0042;;;;;;;;;;;;;;
TM 174115;;;ET2 Cr 3.0043;;;;;;;;;;;;;;
TM 174116;;;ET2 Cr 3.0044;;;;;;;;;;;;;;
TM 174117;;;ET2 Cr 3.0045;;;;;;;;;;;;;;
TM 174118;;;ET2 Cr 3.0046;;;;;;;;;;;;;;
TM 174119;;;ET2 Cr 3.0047;;;;;;;;;;;;;;
TM 174120;;;ET2 Cr 3.0048;;;;;;;;;;;;;;
TM 174121;;;ET2 Cr 3.0049;;;;;;;;;;;;;;
TM 174122;;;ET2 Cr 3.0051;;;;;;;;;;;;;;
TM 174123;;;ET2 Cr 3.0052;;;;;;;;;;;;;;
TM 174124;;;ET2 Cr 3.0053;;;;;;;;;;;;;;
TM 174125;;;ET2 Cr 3.0054;;;;;;;;;;;;;;
TM 174126;;;ET2 Cr 3.0055;;;;;;;;;;;;;;
TM 174127;;;ET2 Cr 3.0056;;;;;;;;;;;;;;
TM 174128;;;ET2 Cr 3.0057;;;;;;;;;;;;;;
TM 174129;;;ET2 Cr 3.0058;;;;;;;;;;;;;;
TM 174130;;;ET2 Cr 3.0059;;;;;;;;;;;;;;
TM 174131;;;ET2 Cr 3.0060;;;;;;;;;;;;;;
TM 174132;;;ET2 Cr 3.0061;;;;;;;;;;;;;;
TM 174133;;;ET2 Cr 3.0062;;;;;;;;;;;;;;
TM 174134;;;ET2 Cr 3.0063;;;;;;;;;;;;;;
TM 174135;;;ET2 Cr 4.0019;;;;;;;;;;;;;;
TM 174136;;;ET2 Cr 4.0020;;;;;;;;;;;;;;
TM 174137;;;ET2 Cr 4.0022;;;;;;;;;;;;;;
TM 174139;;;ET2 Cr 4.0025;;;;;;;;;;;;;;
TM 174140;;;ET2 Cr 4.0026;;;;;;;;;;;;;;
TM 174141;;;ET2 Cr 4.0027;;;;;;;;;;;;;;
TM 174142;;;ET2 Cr 4.0028;;;;;;;;;;;;;;
TM 174143;;;ET2 Cr 4.0029;;;;;;;;;;;;;;
TM 174144;;;ET2 Cr 4.0030;;;;;;;;;;;;;;
TM 174145;;;ET2 Cr 4.0031;;;;;;;;;;;;;;
TM 174146;;;ET2 Cr 4.0032;;;;;;;;;;;;;;
TM 174147;;;ET2 Cr 4.0033;;;;;;;;;;;;;;
TM 174148;;;ET2 Cr 4.0034;;;;;;;;;;;;;;
TM 174149;;;ET2 Cr 4.0035;;;;;;;;;;;;;;
TM 174150;;;ET2 Cr 4.0036;;;;;;;;;;;;;;
TM 174151;;;ET2 Cr 5.0006;;;;;;;;;;;;;;
TM 174152;;;ET2 Cr 5.0007;;;;;;;;;;;;;;
TM 174153;;;ET2 Cr 5.0008;;;;;;;;;;;;;;
TM 174154;;;ET2 Cr 6.0004;;;;;;;;;;;;;;
TM 174155;;;ET2 Cr 6.0005;;;;;;;;;;;;;;
TM 174156;;;ET2 Cr 6.0006;;;;;;;;;;;;;;
TM 174157;;;ET2 Cr 7.0004;;;;;;;;;;;;;;
TM 174158;;;ET2 Cr 8.0002;;;;;;;;;;;;;;
TM 174159;;;ET2 Cr 8.0003;;;;;;;;;;;;;;
TM 174160;;;ET2 Cr 9.0003;;;;;;;;;;;;;;
TM 174161;;;ET2 Cr 0.0062;;;;;;;;;;;;;;
TM 174162;;;ET2 Cr 0.0063;;;;;;;;;;;;;;
TM 174163;;;ET2 Cr 0.0064;;;;;;;;;;;;;;
TM 174164;;;ET2 Cr 0.0065;;;;;;;;;;;;;;
TM 174165;;;ET2 Cr 0.0066;;;;;;;;;;;;;;
TM 174166;;;ET2 Cr 0.0067;;;;;;;;;;;;;;
TM 174167;;;ET2 Cr 0.0068;;;;;;;;;;;;;;
TM 174168;;;ET2 Cr 0.0069;;;;;;;;;;;;;;
TM 174169;;;ET2 Cr 0.0070;;;;;;;;;;;;;;
TM 174170;;;ET2 Cr 0.0071;;;;;;;;;;;;;;
TM 174171;;;ET2 Cr 0.0072;;;;;;;;;;;;;;
TM 174172;;;ET2 Cr 0.0073;;;;;;;;;;;;;;
TM 174173;;;ET2 Cr 0.0074;;;;;;;;;;;;;;
TM 174174;;;ET2 Cr 0.0075;;;;;;;;;;;;;;
TM 174175;;;ET2 Cr 0.0076;;;;;;;;;;;;;;
TM 174176;;;ET2 Cr 0.0077;;;;;;;;;;;;;;
TM 174177;;;ET2 Cr 0.0078;;;;;;;;;;;;;;
TM 174178;;;ET2 Cr 0.0079;;;;;;;;;;;;;;
TM 174179;;;ET2 Cr 0.0080;;;;;;;;;;;;;;
TM 174180;;;ET2 Cr 0.0081;;;;;;;;;;;;;;
TM 174181;;;ET2 Cr 0.0082;;;;;;;;;;;;;;
TM 174182;;;ET2 Cr 0.0083;;;;;;;;;;;;;;
TM 174183;;;ET2 Cr 0.0084;;;;;;;;;;;;;;
TM 174184;;;ET2 Cr 0.0085;;;;;;;;;;;;;;
TM 174185;;;ET2 Cr 0.0086;;;;;;;;;;;;;;
TM 174186;;;ET2 Cr 0.0087;;;;;;;;;;;;;;
TM 174187;;;ET2 Cr 0.0088;;;;;;;;;;;;;;
TM 174188;;;ET2 Cr 0.0089;;;;;;;;;;;;;;
TM 174189;;;ET2 Ta 1.0264;;;;;;;;;;;;;;
TM 174190;;;ET2 Ta 1.0265;;;;;;;;;;;;;;
TM 174191;;;ET2 Ta 1.0266;;;;;;;;;;;;;;
TM 174192;;;ET2 Ta 1.0267;;;;;;;;;;;;;;
TM 174193;;;ET2 Ta 1.0268;;;;;;;;;;;;;;
TM 174194;;;ET2 Ta 1.0269;;;;;;;;;;;;;;
TM 174195;;;ET2 Ta 1.0270;;;;;;;;;;;;;;
TM 174196;;;ET2 Ta 1.0271;;;;;;;;;;;;;;
TM 174197;;;ET2 Ta 1.0272;;;;;;;;;;;;;;
TM 174198;;;ET2 Ta 1.0273;;;;;;;;;;;;;;
TM 174199;;;ET2 Ta 1.0274;;;;;;;;;;;;;;
TM 174200;;;ET2 Ta 1.0275;;;;;;;;;;;;;;
TM 174201;;;ET2 Ta 1.0276;;;;;;;;;;;;;;
TM 174202;;;ET2 Ta 1.0277;;;;;;;;;;;;;;
TM 174203;;;ET2 Ta 1.0278;;;;;;;;;;;;;;
TM 174204;;;ET2 Ta 1.0279;;;;;;;;;;;;;;
TM 174205;;;ET2 Ta 1.0280;;;;;;;;;;;;;;
TM 174206;;;ET2 Ta 1.0281;;;;;;;;;;;;;;
TM 174207;;;ET2 Ta 1.0282;;;;;;;;;;;;;;
TM 174208;;;ET2 Ta 1.0283;;;;;;;;;;;;;;
TM 174209;;;ET2 Ta 1.0284;;;;;;;;;;;;;;
TM 174210;;;ET2 Ta 1.0285;;;;;;;;;;;;;;
TM 174211;;;ET2 Ta 1.0286;;;;;;;;;;;;;;
TM 174212;;;ET2 Ta 1.0287;;;;;;;;;;;;;;
TM 174213;;;ET2 Ta 1.0288;;;;;;;;;;;;;;
TM 174214;;;ET2 Ta 1.0289;;;;;;;;;;;;;;
TM 174215;;;ET2 Ta 1.0290;;;;;;;;;;;;;;
TM 174216;;;ET2 Ta 1.0291;;;;;;;;;;;;;;
TM 174217;;;ET2 Ta 1.0292;;;;;;;;;;;;;;
TM 174218;;;ET2 Ta 1.0293;;;;;;;;;;;;;;
TM 174219;;;ET2 Ta 1.0294;;;;;;;;;;;;;;
TM 174220;;;ET2 Ta 1.0295;;;;;;;;;;;;;;
TM 174221;;;ET2 Ta 1.0296;;;;;;;;;;;;;;
TM 174222;;;ET2 Ta 1.0261;;;;;;;;;;;;;;
TM 174223;;;ET2 Ta 1.0262;;;;;;;;;;;;;;
TM 174224;;;ET2 Ta 1.0263;;;;;;;;;;;;;;
TM 174225;;;ET2 Ta 1.0297;;;;;;;;;;;;;;
TM 174226;;;ET2 Ta 1.0298;;;;;;;;;;;;;;
TM 174227;;;ET2 Ta 2.0048;;;;;;;;;;;;;;
TM 174228;;;ET2 Ta 2.0049;;;;;;;;;;;;;;
TM 174229;;;ET2 Ta 2.0050;;;;;;;;;;;;;;
TM 174230;;;ET2 Ta 2.0051;;;;;;;;;;;;;;
TM 174231;;;ET2 Ta 2.0052;;;;;;;;;;;;;;
TM 174232;;;ET2 Ta 3.0010;;;;;;;;;;;;;;
TM 174233;;;ET2 Ta 3.0011;;;;;;;;;;;;;;
TM 174234;;;ET2 Ta 3.0012;;;;;;;;;;;;;;
TM 174235;;;ET2 Ta 3.0013;;;;;;;;;;;;;;
TM 174236;;;ET2 Ta 7.0101;;;;;;;;;;;;;;
TM 174237;;;ET2 Ta 7.0102;;;;;;;;;;;;;;
TM 174239;;;ET2 Ta 9.0003;;;;;;;;;;;;;;
TM 174240;;;ET2 Ta 0.0037;;;;;;;;;;;;;;
TM 174241;;;ET2 Ta 0.0038;;;;;;;;;;;;;;
TM 174242;;;ET2 Ta 0.0039;;;;;;;;;;;;;;
TM 174243;;;ET2 Ta 0.0040;;;;;;;;;;;;;;
TM 174244;;;ET2 Ta 0.0041;;;;;;;;;;;;;;
TM 174245;;;ET2 AT 1.0208;;;;;;;;;;;;;;
TM 174246;;;ET2 AT 1.0209;;;;;;;;;;;;;;
TM 174247;;;ET2 AT 1.0210;;;;;;;;;;;;;;
TM 174248;;;ET2 AT 1.0211;;;;;;;;;;;;;;
TM 174249;;;ET2 AT 1.0212;;;;;;;;;;;;;;
TM 174250;;;ET2 AT 1.0213;;;;;;;;;;;;;;
TM 174251;;;ET2 AT 1.0214;;;;;;;;;;;;;;
TM 174252;;;ET2 AT 1.0215;;;;;;;;;;;;;;
TM 174253;;;ET2 AT 1.0216;;;;;;;;;;;;;;
TM 174254;;;ET2 AT 1.0217;;;;;;;;;;;;;;
TM 174255;;;ET2 AT 1.0218;;;;;;;;;;;;;;
TM 174256;;;ET2 AT 1.0219;;;;;;;;;;;;;;
TM 174257;;;ET2 AT 1.0220;;;;;;;;;;;;;;
TM 174258;;;ET2 AT 1.0221;;;;;;;;;;;;;;
TM 174259;;;ET2 AT 1.0222;;;;;;;;;;;;;;
TM 174260;;;ET2 AT 1.0223;;;;;;;;;;;;;;
TM 174261;;;ET2 AT 1.0229;;;;;;;;;;;;;;
TM 174262;;;ET2 AT 1.0230;;;;;;;;;;;;;;
TM 174263;;;ET2 AT 1.0225;;;;;;;;;;;;;;
TM 174264;;;ET2 AT 1.0226;;;;;;;;;;;;;;
TM 174265;;;ET2 AT 1.0227;;;;;;;;;;;;;;
TM 174266;;;ET2 AT 1.0228;;;;;;;;;;;;;;
TM 174267;;;ET2 AT 1.0207;;;;;;;;;;;;;;
TM 174268;;;ET2 AT 2.0036;;;;;;;;;;;;;;
TM 174269;;;ET2 AT 2.0037;;;;;;;;;;;;;;
TM 174270;;;ET2 AT 2.0038;;;;;;;;;;;;;;
TM 174271;;;ET2 AT 2.0039;;;;;;;;;;;;;;
TM 174272;;;ET2 AT 2.0040;;;;;;;;;;;;;;
TM 174273;;;ET2 AT 2.0041;;;;;;;;;;;;;;
TM 174274;;;ET2 AT 2.0042;;;;;;;;;;;;;;
TM 174275;;;ET2 AT 2.0043;;;;;;;;;;;;;;
TM 174276;;;ET2 AT 2.0044;;;;;;;;;;;;;;
TM 174277;;;ET2 AT 2.0045;;;;;;;;;;;;;;
TM 174278;;;ET2 AT 2.0046;;;;;;;;;;;;;;
TM 174279;;;ET2 AT 2.0047;;;;;;;;;;;;;;
TM 174280;;;ET2 AT 2.0048;;;;;;;;;;;;;;
TM 174281;;;ET2 AT 2.0049;;;;;;;;;;;;;;
TM 174282;;;ET2 AT 2.0050;;;;;;;;;;;;;;
TM 174283;;;ET2 AT 3.0004;;;;;;;;;;;;;;
TM 174284;;;ET2 AT 3.0005;;;;;;;;;;;;;;
TM 174285;;;ET2 AT 4.0003;;;;;;;;;;;;;;
TM 174286;;;ET2 AT 6.0006;;;;;;;;;;;;;;
TM 174287;;;ET2 AT 9.0002;;;;;;;;;;;;;;
TM 174288;;;ET2 AT 0.0019;;;;;;;;;;;;;;
TM 174289;;;ET2 AT 0.0020;;;;;;;;;;;;;;
TM 174290;;;ET2 AT 0.0021;;;;;;;;;;;;;;
TM 174291;;;ET2 AT 0.0022;;;;;;;;;;;;;;
TM 174292;;;ET2 AT 0.0023;;;;;;;;;;;;;;
TM 174293;;;ET2 AT 0.0024;;;;;;;;;;;;;;
TM 174294;;;ET2 AT 0.0025;;;;;;;;;;;;;;
TM 174295;;;ET2 AT 0.0026;;;;;;;;;;;;;;
TM 174296;;;ET2 AT 0.0027;;;;;;;;;;;;;;
TM 174297;;;ET2 AH 1.0085;;;;;;;;;;;;;;
TM 174298;;;ET2 AH 1.0086;;;;;;;;;;;;;;
TM 174299;;;ET2 AH 1.0087;;;;;;;;;;;;;;
TM 174300;;;ET2 AH 1.0088;;;;;;;;;;;;;;
TM 174301;;;ET2 AH 1.0089;;;;;;;;;;;;;;
TM 174302;;;ET2 AH 1.0091;;;;;;;;;;;;;;
TM 174303;;;ET2 AH 1.0090;;;;;;;;;;;;;;
TM 174304;;;ET2 AH 1.0082;;;;;;;;;;;;;;
TM 174305;;;ET2 AH 1.0083;;;;;;;;;;;;;;
TM 174306;;;ET2 AH 1.0084;;;;;;;;;;;;;;
TM 174307;;;ET2 AH 2.0007;;;;;;;;;;;;;;
TM 174308;;;ET2 AH 2.0008;;;;;;;;;;;;;;
TM 174309;;;ET2 AH 4.0002;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 174309;;;ET2 AH 9.0003;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 174312;;;ET2 AH 0.0009;;;;;;;;;;;;;;
TM 174313;;;ET2 AH 0.0010;;;;;;;;;;;;;;
TM 174314;;;ET2 AH 0.0011;;;;;;;;;;;;;;
TM 174315;;;ET2 AH 0.0012;;;;;;;;;;;;;;
TM 174317;;;ET2 Vs 1.0325;;;;;;;;;;;;;;
TM 174318;;;ET2 Vs 1.0326;;;;;;;;;;;;;;
TM 174319;;;ET2 Vs 1.0327;;;;;;;;;;;;;;
TM 174320;;;ET2 Vs 1.0328;;;;;;;;;;;;;;
TM 174321;;;ET2 Vs 1.0338;;;;;;;;;;;;;;
TM 174322;;;ET2 Vs 1.0339;;;;;;;;;;;;;;
TM 174323;;;ET2 Vs 1.0340;;;;;;;;;;;;;;
TM 174324;;;ET2 Vs 1.0341;;;;;;;;;;;;;;
TM 174325;;;ET2 Vs 1.0342;;;;;;;;;;;;;;
TM 174326;;;ET2 Vs 1.0343;;;;;;;;;;;;;;
TM 174327;;;ET2 Vs 1.0344;;;;;;;;;;;;;;
TM 174328;;;ET2 Vs 1.0345;;;;;;;;;;;;;;
TM 174329;;;ET2 Vs 1.0329;;;;;;;;;;;;;;
TM 174330;;;ET2 Vs 1.0330;;;;;;;;;;;;;;
TM 174331;;;ET2 Vs 1.0331;;;;;;;;;;;;;;
TM 174332;;;ET2 Vs 1.0332;;;;;;;;;;;;;;
TM 174333;;;ET2 Vs 1.0333;;;;;;;;;;;;;;
TM 174334;;;ET2 Vs 1.0346;;;;;;;;;;;;;;
TM 174335;;;ET2 Vs 1.0334;;;;;;;;;;;;;;
TM 174336;;;ET2 Vs 1.0335;;;;;;;;;;;;;;
TM 174337;;;ET2 Vs 1.0336;;;;;;;;;;;;;;
TM 174338;;;ET2 Vs 1.0337;;;;;;;;;;;;;;
TM 174339;;;ET2 Vs 1.0322;;;;;;;;;;;;;;
TM 174340;;;ET2 Vs 1.0323;;;;;;;;;;;;;;
TM 174341;;;ET2 Vs 2.0060;;;;;;;;;;;;;;
TM 174342;;;ET2 Vs 2.0061;;;;;;;;;;;;;;
TM 174343;;;ET2 Vs 2.0062;;;;;;;;;;;;;;
TM 174344;;;ET2 Vs 3.0008;;;;;;;;;;;;;;
TM 174345;;;ET2 Vs 3.0009;;;;;;;;;;;;;;
