Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 248751;CIE 00116;;;;;;;;;CIL XI.1776;;;;;;;
TM 148578;CIE 00117;ET1 Vt 1.0166;ET2 Vt 1.0166;;;;;;;;CII 0329 ter;;;;;;
TM 148580;CIE 00118 +add;ET1 Vt 1.0168;ET2 Vt 1.0168;TLE 0389;;;;;;;;CII Suppl. III.0073;;;;;
TM 148564;CIE 00119;ET1 Vt 1.0152;ET2 Vt 1.0152;;;;;;;;;;;;;;
TM 148499;CIE 00120;ET1 Vt 1.0087;ET2 Vt 1.0087;;;;;;;;CII 0364 bis k;;;;;;
TM 148552;CIE 00121;ET1 Vt 1.0140;ET2 Vt 1.0140;;;;;;;;CII 0364 bis b;;;;;;
TM 148502;CIE 00122;ET1 Vt 1.0090;ET2 Vt 1.0090;;;;;;;;CII 0364 bis d;;;;;;
TM 148504;CIE 00123;ET1 Vt 1.0092;ET2 Vt 1.0092;;;;;;;;;CII Suppl. III.0074;;;;;
TM 148532;CIE 00124;ET1 Vt 1.0120;ET2 Vt 1.0120;;;;;;;;CII 0364 bis g;;;;;;
TM 148501;CIE 00125;ET1 Vt 1.0089;ET2 Vt 1.0089;;;;;;;;;;;;;;
TM 148500;CIE 00126;ET1 Vt 1.0088;ET2 Vt 1.0088;;;;;;;;CII 0317 bis;;;;;;
TM 148579;CIE 00127;ET1 Vt 1.0167;ET2 Vt 1.0167;;;;;;;;CII 0364 bis e;;;;;;
TM 148439;CIE 00128;ET1 Vt 1.0027;ET2 Vt 1.0027;;;;;;;;CII 0364 bis a;;;;;;
TM 148536;CIE 00129;ET1 Vt 1.0124;ET2 Vt 1.0124;TLE 0393;;;;;;;CII 0169;;;;;;
TM 148451;CIE 00130;ET1 Vt 1.0039;ET2 Vt 1.0039;;;;;;;;CII 0342 bis;;;;;;
TM 148450;CIE 00131;ET1 Vt 1.0038;ET2 Vt 1.0038;;;;;;;;CII 0365 bis;;;Multiple references. Common denominator: CIE. CII. (2);;;
TM 148452;CIE 00131;ET1 Vt 1.0040;ET2 Vt 1.0040;;;;;;;;CII 0365 bis;;;Multiple references. Common denominator: CIE. CII. (2);;;
TM 148577;CIE 00132;ET1 Vt 1.0165;ET2 Vt 1.0165;;;;;;;;;;;;;;
TM 148531;CIE 00133;ET1 Vt 1.0119;ET2 Vt 1.0119;;;;;;;;CII 0361 ter;;;;;;
TM 248944;CIE 00134;;;;;;;;;CIL XI.7078;;;;;;;
TM 248764;CIE 00135;;;;;;CIL I(2).3367c;;;CIL XI.7079;;;;Multiple references. Common denominator: Trismegistos. CIL I(2). (2);;;
TM 148522;CIE 00136;ET1 Vt 1.0110;ET2 Vt 1.0110;;;;;;;;;;;;;;
TM 148582;CIE 00137;ET1 Vt 1.0170;ET2 Vt 1.0170;;;;;;;;;;;;;;
TM 148562;CIE 00138;ET1 Vt 1.0150;ET2 Pe 1.1359;;;;;;;;;;;;;;
TM 148503;CIE 00139;ET1 Vt 1.0091;ET2 Vt 1.0091;;;;;;;;;;;;;;
;CIE 00140;;;;;;;;;;CII 0364 bis f;;;;Fragmentary.;;
TM 148581;CIE 00141;ET1 Vt 1.0169;ET2 Vt 1.0169;;;;;;;;CII 0364 bis c;;;;;;
