word,freq,pred_class,score,margin,second_class
acasri,4,VERB,0.478854,0.294112,NAME-M
nac,8,VERB,0.554670,0.293688,NAME-M
huslne,2,VERB,0.526093,0.293136,NAME-M
ais,3,VERB,0.510655,0.291133,NAME-M
parchis,2,NAME-M,0.572994,0.290980,VERB
lathial,2,NAME-M,0.553223,0.290519,NAME-F
trau,2,VERB,0.541689,0.290279,NAME-M
vipinei,2,NAME-M,0.573131,0.290114,NAME-F
putina,2,VERB,0.531465,0.290013,NAME-M
ceizra,2,VERB,0.531465,0.290013,NAME-M
zeris,2,NAME-M,0.499318,0.287855,FUNC
anei,4,NAME-M,0.567045,0.286970,NAME-F
lartia,2,NAME-F,0.616664,0.286354,NAME-M
rin,2,VERB,0.527918,0.286349,NAME-M
alazei,3,VERB,0.486660,0.285653,FUNC
inc,2,VERB,0.500148,0.284893,FUNC
ilucu,8,VERB,0.552263,0.284851,THEO
percumsnal,2,NAME-M,0.597834,0.283279,NAME-F
pute,8,VERB,0.508528,0.282586,NAME-M
muera,2,VERB,0.495876,0.281917,NAME-M
anis,2,NAME-M,0.548187,0.281414,NAME-F
