entry,text,flags,shared_with_ciep,containment
1506,[la]<re>l<a> χ<er> l<t>n<e> i <peθnai->,,0,
1507,vel - percumsna - arnθal,,0,
1508,larθi - al -- lautn iθa > percumsnas,,0,
1509,laris - pumpu <h>ucu,,0,
1510,l<a> > pumpu,,0,
1511,θania > calunei - pumpuval,,0,
1512,larθi . cainei - pumpusa,,0,
1513,vl - sent i nate i arnθalisa,ocr?,1,0.91
1514,veliza - senti • vestrcial,,0,
1515,eana . senti . vl • remznal,,0,
1516,eana i remznei - viliasa .,,1,0.88
1517,θania - seianti - vi l ian ia > marcnal,,1,0.93
1518,vl • vilia . vl • mar • pur- -te,,1,0.70
1519,larθi - marcnei t tut • viliasa,ocr-fixed,0,
1520,śa > seianti . viliania . titial - sec,ocr-fixed,1,0.83
1521,θan • latini . vl • sia<t> viliasa,ocr-fixed,0,
1522,cicunia . titesa i,,0,
1523,cicunia t/,,0,
1524,au i acilu - latin ia,,0,
1525,visce • acilu,,0,
1526,lθ • seθre • tit ia,,0,
1528,oania . tutnei - pulfnal • tetinasa,ocr?,1,0.91
1529,licantre 1 tetinas > lautn i -,,1,0.87
1530,θ<ana> . anei • ar,,0,
1531,θana 1 cafati • lati- 00 -,,0,
1532,veliza celmnei,,1,1.00
1533,<veliza> celmn<e>i . ae • sec,ocr-fixed,0,
1534,lθ • <c>ure • [v]l,,0,
1535,larθ > ezna - larθalisa,,0,
1536,vel velχe zuχnal,,1,0.93
1842,larza - cae • aclnal,,0,
1843,laroi • cainei • aclnig,ocr?,0,
1844,la-cae ful,,1,0.83
1845,lθ - cae--- fulu f<χχ>-,,0,
1846,[la] rθ > cae - arnθ<a>[l • vipinalisa],ocr-fixed,1,0.89
1847,arno cae/,ocr?,1,0.86
1848,vel > cae - l<a>[rθal],,0,
1849,[l]<arθ> • ca<e> • aul<e>[-],,0,
1850,/cae/,,1,
1851,larza i c<a>e - velχ i eg,,0,
1852,lθ - cae i tutnas,,0,
1853,hastia > cainei - leusla,,0,
1854,cae i lautni i cult<e>ces,,0,
1855,cae<t> <>0-> -s larθal • laetne i,,0,
1856,[---] sus . ve • cali - -sus lare • caes lautni,,0,
1862,aule caini,,0,
1863,hast i vl χaine,,0,
1864,aule > caini - aueca,,0,
1865,cainei • aulesa,,0,
1866,aule cain- -<l> sainal,,0,
1867,aule - caini . tetnal . ae,,0,
1868,aθ • cai<ni>,,0,
1869,ae i caini > au t eansinal -,,0,
1870,sana . cain[ei] - ea - nena - --,ocr-fixed,0,
1871,hastia cainei,,0,
1872,[hastia >] c<ai>ne<i> - ---minasa .,ocr-fixed,1,0.94
1873,flastia . cainei . clantie • puia . ame,,0,
1938,larθia • calisnei vetias,,1,0.83
1939,arw3 cal is in i velu,,1,1.00
1940,l[r > ca]mas t helial .,,0,
1941,larθia . came i . larθisa . lau 1 gatnas,,1,0.64
1942,aule • camarine larθal • cainal,,0,
1943,hasoi - camarinei - pumpual -,ocr?,0,
1944,hastia < camarinei > rumatesa,ocr?,1,0.87
1945,auliu - camarines,,1,0.38
1946,vl . canzna . vl . vetnal,,1,0.86
1947,[tit]e<s> [can]zna,,1,1.00
1948,as . capiu . larθ-----,,0,
1949,av . capna . alfnal,,0,
1950,aθ . capsna . ecnatnal,,0,
1951,as . capsna . pu<m>pa<n>a,,0,
1952,arnza - capsna . seθrnal,,0,
1953,fania • seθrnei - capθnas <ve>[l . l]<eθ>e . carsna . hup ie,ocr?,0,
1954,sal ie - carcu . nat is,,0,
1956,lari carcna lafal,ocr?,1,0.93
1957,laro car<n>a velus,ocr?,0,
1958,vel . carna . larsal 1,,0,
1959,aθ • carna • vetlnal,,0,
1960,aθ > carnei > tutnas-,,0,
1961,ar > tutna tumu . carn- -<a>l,,1,
1962,ar . carziu,,1,0.14
1964,θana • ca- -rpnati . venusa,ocr-fixed,1,1.00
1965,lr 1 vipi . venu . carpna- -tial,,1,
1966,θana carpnti lulesa,ocr-fixed,0,
1967,{c . cartilius • l • f,,1,0.50
1968,aule s catni . aulesa,,0,
1969,vl - caule arnθal,,0,
1970,vel . caul<e> 1 arnθal 1,,0,
1971,lθ • causlini . lθ,,1,1.00
2095,ta<m>a . velces la[u]tni,,1,0.56
2096,ti-ile - lau velχes puliac,ocr-fixed ocr?,1,1.00
2097,/- [pum]pus . clan [l]<a>r<z>a [.] <la>u<tn> 1 [.] velχ eg • ------<>/,,0,
2098,vl • pumpu • velχ,,1,
